article_id,ticker,headline,url,canonical_url,source,published_at,trading_date,timestamp_basis,human_label,human_notes
20250415070000-240,TCS.NS,Who is Aarthi Subramanian? TCS' new COO leading the charge for women in India's male-centric tech sector,https://economictimes.indiatimes.com/news/company/corporate-trends/who-is-aarthi-subramanian-tcs-new-coo-leading-the-charge-for-women-in-indias-male-centric-tech-sector/articleshow/120301523.cms,https://economictimes.indiatimes.com/news/company/corporate-trends/who-is-aarthi-subramanian-tcs-new-coo-leading-the-charge-for-women-in-indias-male-centric-tech-sector/articleshow/120301523.cms,indiatimes.com,2025-04-15T12:30:00+05:30,2025-04-15,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415100000-144,TCS.NS,Tata Sons' Aarthi Subramanian appointed executive director-president and COO of TCS,https://www.domain-b.com/technology/information-technology/tata-sons-aarthi-subramanian-appointed-executive-director-president-and-coo-of-tcs,https://www.domain-b.com/technology/information-technology/tata-sons-aarthi-subramanian-appointed-executive-director-president-and-coo-of-tcs,domain-b.com,2025-04-15T15:30:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415101500-839,TCS.NS,TCS delays salary hikes amid global uncertainty,https://www.thestatesman.com/technology/tcs-delays-salary-hikes-amid-global-uncertainty-1503419747.html,https://www.thestatesman.com/technology/tcs-delays-salary-hikes-amid-global-uncertainty-1503419747.html,thestatesman.com,2025-04-15T15:45:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415103000-844,TCS.NS,"Who is Aarthi Subramanian? TCS's first woman COO to take charge from May 1, 2025",https://www.livemint.com/companies/people/who-is-aarthi-subramanian-tcss-first-woman-coo-to-take-charge-from-may-1-2025-11744706475701.html,https://www.livemint.com/companies/people/who-is-aarthi-subramanian-tcss-first-woman-coo-to-take-charge-from-may-1-2025-11744706475701.html,livemint.com,2025-04-15T16:00:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415121500-336,TCS.NS,"Profile: Meet Aarthi Subramanian, the new COO of TCS - The Hindu BusinessLine",https://www.thehindubusinessline.com/info-tech/profile-meet-aarthi-subramanian-the-new-coo-of-tcs/article69452258.ece,https://www.thehindubusinessline.com/info-tech/profile-meet-aarthi-subramanian-the-new-coo-of-tcs/article69452258.ece,thehindubusinessline.com,2025-04-15T17:45:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415121500-1493,TCS.NS,"TCS to invest ₹1,370 crore in Visakhapatnam - The Hindu BusinessLine",https://www.thehindubusinessline.com/companies/tcs-to-invest-1370-crore-in-visakhapatnam/article69452386.ece,https://www.thehindubusinessline.com/companies/tcs-to-invest-1370-crore-in-visakhapatnam/article69452386.ece,thehindubusinessline.com,2025-04-15T17:45:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415141500-339,TCS.NS,Andhra offers 21 acres to TCS at 99 paise in push to make Vizag a tech hub,https://www.thenewsminute.com/andhra-pradesh/andhra-offers-21-acres-to-tcs-at-99-paise-in-push-to-make-vizag-a-tech-hub,https://www.thenewsminute.com/andhra-pradesh/andhra-offers-21-acres-to-tcs-at-99-paise-in-push-to-make-vizag-a-tech-hub,thenewsminute.com,2025-04-15T19:45:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415154500-1817,TCS.NS,Andhra Pradesh offers TCS land in Vizag for 99 paisa to woo major tech investment | Indiablooms - First Portal on Digital News Management,http://indiablooms.com/finance/andhra-pradesh-offers-tcs-land-in-vizag-for-99-paisa-to-woo-major-tech-investment/details,http://indiablooms.com/finance/andhra-pradesh-offers-tcs-land-in-vizag-for-99-paisa-to-woo-major-tech-investment/details,indiablooms.com,2025-04-15T21:15:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415154500-1211,TCS.NS,"Tata Group's TCS gets 21.16 acres land at just 99 paisa in THIS state, IT firm to invest Rs 1370 crore",https://www.dnaindia.com/business/report-tata-group-tcs-gets-2116-acres-land-at-just-99-paisa-in-andhra-pradesh-it-firm-to-invest-rs-1370-crore-3145665,https://www.dnaindia.com/business/report-tata-group-tcs-gets-2116-acres-land-at-just-99-paisa-in-andhra-pradesh-it-firm-to-invest-rs-1370-crore-3145665,dnaindia.com,2025-04-15T21:15:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415160000-1281,TCS.NS,"TCS to invest ₹1,370 crore in Visakhapatnam - The Hindu BusinessLine",https://www.thehindubusinessline.com/info-tech/tcs-to-invest-1370-crore-in-visakhapatnam/article69452386.ece,https://www.thehindubusinessline.com/info-tech/tcs-to-invest-1370-crore-in-visakhapatnam/article69452386.ece,thehindubusinessline.com,2025-04-15T21:30:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415173000-869,TCS.NS,'We can continue this momentum': TCS CEO Krithivasan on surpassing $30 billion revenue mark,https://economictimes.indiatimes.com/tech/information-tech/we-can-continue-this-momentum-tcs-ceo-krithivasan-on-surpassing-30-billion-revenue-mark/articleshow/120318296.cms,https://economictimes.indiatimes.com/tech/information-tech/we-can-continue-this-momentum-tcs-ceo-krithivasan-on-surpassing-30-billion-revenue-mark/articleshow/120318296.cms,indiatimes.com,2025-04-15T23:00:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250415203000-T545,TCS.NS,"21 एकड़ जमीन सिर्फ 99 पैसे में! आंध्र प्रदेश सरकार ने TCS पर लुटाया प्यार, विशाखापत्तनम को IT हब बनाने की तैयारी - 21 acres of land for just 99 paise andhra pradesh government looted love on tcs preparations to make visakhapatnam it hub",https://hindi.business-standard.com/companies/21-acres-of-land-for-just-99-paise-andhra-pradesh-government-looted-love-on-tcs-preparations-to-make-visakhapatnam-it-hub-id-430893,https://hindi.business-standard.com/companies/21-acres-of-land-for-just-99-paise-andhra-pradesh-government-looted-love-on-tcs-preparations-to-make-visakhapatnam-it-hub-id-430893,business-standard.com,2025-04-16T02:00:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250416023000-T276,TCS.NS,"TCS Tata consultancy services updates Andhra pradesh government land deal मात्र 99 पैसे में 21 एकड़ जमीन, कैसे आंध्र प्रदेश ने TCS को इतने सस्ते में दे दी डील, India Hindi News",https://www.livehindustan.com/national/tcs-tata-consultancy-services-updates-andhra-pradesh-government-land-deal-201744764206815.html,https://www.livehindustan.com/national/tcs-tata-consultancy-services-updates-andhra-pradesh-government-land-deal-201744764206815.html,livehindustan.com,2025-04-16T08:00:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250416040000-568,TCS.NS,"Top stocks to watch: TCS, IndusInd Bank, ICICI Pru Life, IREDA, Vedanta, Adani Total Gas, Swiggy & NHPC",https://www.businesstoday.in/markets/stocks/story/top-stocks-to-watch-tcs-indusind-bank-icici-pru-life-ireda-vedanta-adani-total-gas-swiggy-nhpc-472163-2025-04-16,https://www.businesstoday.in/markets/stocks/story/top-stocks-to-watch-tcs-indusind-bank-icici-pru-life-ireda-vedanta-adani-total-gas-swiggy-nhpc-472163-2025-04-16,businesstoday.in,2025-04-16T09:30:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
20250416073000-1289,TCS.NS,"Ratan Tata's TCS gets 21 acres land only for 99 paisa in this state, not Gujarat, UP, Karnataka, Assam, IT firm will invest Rs 13700000000 in…",https://www.india.com/business/ratan-tatas-tcs-gets-21-acres-land-only-for-99-paisa-in-andhra-pradesh-not-gujarat-up-karnataka-assam-it-firm-will-invest-rs-13700000000-in-it-campus-7758425/,https://www.india.com/business/ratan-tatas-tcs-gets-21-acres-land-only-for-99-paisa-in-andhra-pradesh-not-gujarat-up-karnataka-assam-it-firm-will-invest-rs-13700000000-in-it-campus-7758425/,india.com,2025-04-16T13:00:00+05:30,2025-04-16,gdelt_gkg_observation,DIRECTLY_RELEVANT,"TCS Q4/FY25 earnings, revenue growth, order book, deal wins, hiring, leadership, or dividend."
