gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240425071500-702,20240425071500,financialexpress.com,https://www.financialexpress.com/business/industry/q4-results-2024-live-updates-bajaj-finance-nestle-india-indusind-bank-vedanta-tech-mahindra-more-to-announce-earnings-today/3467831/,"Q4 Results 2024 LIVE Updates: Bajaj Finance, Nestle India, IndusInd Bank, Vedanta, Tech Mahindra, more to announce earnings today",ACCEPTED,True,2024-04-25,2024-04-25 12:45:00+05:30,https://www.financialexpress.com/business/industry/q4-results-2024-live-updates-bajaj-finance-nestle-india-indusind-bank-vedanta-tech-mahindra-more-to-announce-earnings-today/3467831
20240425081500-527,20240425081500,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/q4-results-previews-vedanta-tech-mahindra-bajaj-finance-indusind-bank-nestle-india-426841-2024-04-25,"Q4 results previews: Vedanta, Tech Mahindra, Bajaj Finance, IndusInd Bank & Nestle India",ACCEPTED,True,2024-04-25,2024-04-25 13:45:00+05:30,https://www.businesstoday.in/markets/company-stock/story/q4-results-previews-vedanta-tech-mahindra-bajaj-finance-indusind-bank-nestle-india-426841-2024-04-25
20240425083000-745,20240425083000,siliconindia.com,https://www.siliconindia.com/news/general/stocks-in-focus-axis-bank-macrotech-ltim-nestle-bajaj-finance-kmb-nid-229188-cid-1.html,"Stocks in Focus: Axis Bank, Macrotech, LTIM, Nestle, Bajaj Finance, KMB",ACCEPTED,True,2024-04-25,2024-04-25 14:00:00+05:30,https://www.siliconindia.com/news/general/stocks-in-focus-axis-bank-macrotech-ltim-nestle-bajaj-finance-kmb-nid-229188-cid-1.html
20240425084500-1132,20240425084500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-finance-q4-results-today-stock-drops-3-ahead-of-announcement/articleshow/109588451.cms,Bajaj Finance Q4 results today: Stock drops 3% ahead of announcement,ACCEPTED,True,2024-04-25,2024-04-25 14:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-finance-q4-results-today-stock-drops-3-ahead-of-announcement/articleshow/109588451.cms
20240425110000-291,20240425110000,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/bajaj-finance-q4-pat-seen-up-22-34/article68105208.ece,Q4 results preview: Bajaj Finance PAT seen up 22-34% - The Hindu BusinessLine,ACCEPTED,True,2024-04-26,2024-04-25 16:30:00+05:30,https://www.thehindubusinessline.com/money-and-banking/bajaj-finance-q4-pat-seen-up-22-34/article68105208.ece
20240425123000-83,20240425123000,marketscreener.com,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/India-s-Bajaj-Finance-posts-21-Q4-profit-rise-46530864/,India's Bajaj Finance posts 21% Q4 profit rise,ACCEPTED,True,2024-04-26,2024-04-25 18:00:00+05:30,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/India-s-Bajaj-Finance-posts-21-Q4-profit-rise-46530864
20240425123000-T807,20240425123000,zonebourse.com,https://www.zonebourse.com/cours/action/BAJAJ-FINANCE-LIMITED-33647061/actualite/Bajaj-Finance-en-Inde-hausse-de-21-des-benefices-au-quatrieme-trimestre-46530864/,Bajaj Finance en Inde : hausse de 21 % des bénéfices au quatrième trimestre,ACCEPTED,True,2024-04-26,2024-04-25 18:00:00+05:30,https://www.zonebourse.com/cours/action/BAJAJ-FINANCE-LIMITED-33647061/actualite/Bajaj-Finance-en-Inde-hausse-de-21-des-benefices-au-quatrieme-trimestre-46530864
20240425124500-101,20240425124500,moneycontrol.com,https://www.moneycontrol.com/news/business/bajaj-finance-q4-results-net-profit-rises-21-to-rs-3825-cr-rs-36-dividend-declared-12707794.html,"Bajaj Finance Q4 results: Net profit rises 21% to Rs 3,825 cr, Rs 36 dividend declared",ACCEPTED,True,2024-04-26,2024-04-25 18:15:00+05:30,https://www.moneycontrol.com/news/business/bajaj-finance-q4-results-net-profit-rises-21-to-rs-3825-cr-rs-36-dividend-declared-12707794.html
20240425130000-1062,20240425130000,moneycontrol.com,https://www.moneycontrol.com/news/business/bajaj-finance-says-complied-with-rbis-directions-formally-seeks-review-of-restrictions-imposed-12708334.html,Bajaj Finance says complied with RBI's directions; formally seeks review of restrictions imposed,ACCEPTED,True,2024-04-26,2024-04-25 18:30:00+05:30,https://www.moneycontrol.com/news/business/bajaj-finance-says-complied-with-rbis-directions-formally-seeks-review-of-restrictions-imposed-12708334.html
20240425131500-507,20240425131500,marketscreener.com,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/Bajaj-Finance-Q4-Investor-Presentation-46531588/,Bajaj Finance : Q4 Investor Presentation,ACCEPTED,True,2024-04-26,2024-04-25 18:45:00+05:30,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/Bajaj-Finance-Q4-Investor-Presentation-46531588
20240425131500-T1654,20240425131500,zonebourse.com,https://www.zonebourse.com/cours/action/BAJAJ-FINANCE-LIMITED-33647061/actualite/BAJAJ-FINANCE-EXECUTIF-LA-SOCIETE-A-FAIT-LES-CHANGEMENTS-NECESSAIRES-EN-REPONSE--46531602/,Bajaj Finance Executif : La Societe A Fait Les Changements Necessaires En Reponse...,ACCEPTED,True,2024-04-26,2024-04-25 18:45:00+05:30,https://www.zonebourse.com/cours/action/BAJAJ-FINANCE-LIMITED-33647061/actualite/BAJAJ-FINANCE-EXECUTIF-LA-SOCIETE-A-FAIT-LES-CHANGEMENTS-NECESSAIRES-EN-REPONSE--46531602
20240425140000-1490,20240425140000,news18.com,https://www.news18.com/business/bajaj-finance-q4-net-profit-rises-21-to-rs-3825-crore-8866297.html,"Bajaj Finance Q4 Net Profit Rises 21% to Rs 3,825 Crore",ACCEPTED,True,2024-04-26,2024-04-25 19:30:00+05:30,https://www.news18.com/business/bajaj-finance-q4-net-profit-rises-21-to-rs-3825-crore-8866297.html
20240425141500-364,20240425141500,moneycontrol.com,https://www.moneycontrol.com/news/business/bajaj-finance-q4-results-here-are-five-key-highlights-12708372.html,Bajaj Finance Q4 results: Here are five key highlights,ACCEPTED,True,2024-04-26,2024-04-25 19:45:00+05:30,https://www.moneycontrol.com/news/business/bajaj-finance-q4-results-here-are-five-key-highlights-12708372.html
20240425154500-938,20240425154500,moneycontrol.com,https://www.moneycontrol.com/news/business/bajaj-finances-cost-of-funds-rise-70-bps-in-fy24-to-7-74-12708431.html,Bajaj Finance's cost of funds rise 70 bps in FY24 to 7.74%,ACCEPTED,True,2024-04-26,2024-04-25 21:15:00+05:30,https://www.moneycontrol.com/news/business/bajaj-finances-cost-of-funds-rise-70-bps-in-fy24-to-7-74-12708431.html
20240425160000-2498,20240425160000,business-standard.com,https://www.business-standard.com/companies/results/bajaj-finance-ltd-q4-results-net-profit-up-21-at-3-824-cr-revenue-up-34-124042500983_1.html,"Bajaj Finance Q4 results: Net profit rises 21% to 3,824 cr, revenue up 31%",ACCEPTED,True,2024-04-26,2024-04-25 21:30:00+05:30,https://www.business-standard.com/companies/results/bajaj-finance-ltd-q4-results-net-profit-up-21-at-3-824-cr-revenue-up-34-124042500983_1.html
20240425171500-1469,20240425171500,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/excess-capital-may-drag-bajaj-finances-return-on-equity-in-fy25-to-below-long-term-guidance-12708450.html,Excess capital may drag Bajaj Finance's return on equity in FY25 to below long-term guidance,ACCEPTED,True,2024-04-26,2024-04-25 22:45:00+05:30,https://www.moneycontrol.com/news/business/markets/excess-capital-may-drag-bajaj-finances-return-on-equity-in-fy25-to-below-long-term-guidance-12708450.html
20240425200000-1836,20240425200000,thehindubusinessline.com,https://www.thehindubusinessline.com/money-and-banking/bajaj-finances-consolidated-pat-up-21-in-q4-margins-shrink-21-bps/article68106930.ece,"Bajaj Finance's consolidated PAT up 21% in Q4, margins shrink 21 bps",ACCEPTED,True,2024-04-26,2024-04-26 01:30:00+05:30,https://www.thehindubusinessline.com/money-and-banking/bajaj-finances-consolidated-pat-up-21-in-q4-margins-shrink-21-bps/article68106930.ece
20240425201500-2003,20240425201500,financialexpress.com,https://www.financialexpress.com/business/industry-bajaj-finance-profit-rises-21-asks-rbi-to-review-restrictions-3468802/,Bajaj Finance profit rises 21%; asks RBI to review restrictions,ACCEPTED,True,2024-04-26,2024-04-26 01:45:00+05:30,https://www.financialexpress.com/business/industry-bajaj-finance-profit-rises-21-asks-rbi-to-review-restrictions-3468802
20240426010000-T1110,20240426010000,indiatimes.com,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-these-stocks-including-bajaj-finance-showing-bullish-signs-will-you-bet/articleshow/109602338.cms,"Stock Market Prediction today These stocks including Bajaj Finance showing bullish signs will you bet: दौड़ते बाजार में आज Bajaj Finance समेत इन शेयरों से होगा फायदा, क्‍या लगाएंगे दांव?",ACCEPTED,True,2024-04-26,2024-04-26 06:30:00+05:30,https://navbharattimes.indiatimes.com/business/share-market/share-news/stock-market-prediction-today-these-stocks-including-bajaj-finance-showing-bullish-signs-will-you-bet/articleshow/109602338.cms
20240426040000-967,20240426040000,marketscreener.com,https://www.marketscreener.com/news/latest/Indian-shares-set-to-open-higher-on-upbeat-results-from-Bajaj-Finance-and-IndusInd-Bank-46539685/,Indian shares set to open higher on upbeat results from Bajaj Finance and IndusInd Bank,ACCEPTED,True,2024-04-26,2024-04-26 09:30:00+05:30,https://www.marketscreener.com/news/latest/Indian-shares-set-to-open-higher-on-upbeat-results-from-Bajaj-Finance-and-IndusInd-Bank-46539685
20240426040000-82,20240426040000,india.com,https://www.india.com/business/top-10-stocks-to-buy-for-today-26-04-24-tech-mahindra-lt-tech-indigo-indusind-bank-cyient-bajaj-finance-6886127/,"Top 10 Stocks To Buy For Today (26-04-24); Tech Mahindra, L&T Tech, IndiGo, IndusInd Bank, Cyient, Bajaj Finance",ACCEPTED,True,2024-04-26,2024-04-26 09:30:00+05:30,https://www.india.com/business/top-10-stocks-to-buy-for-today-26-04-24-tech-mahindra-lt-tech-indigo-indusind-bank-cyient-bajaj-finance-6886127
20240426044500-178,20240426044500,marketscreener.com,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/INDIA-STOCKS-IT-stocks-lead-rise-in-Indian-shares-Bajaj-Finance-caps-index-gains-46539923/,INDIA STOCKS-IT stocks lead rise in Indian shares; Bajaj Finance caps index gains,ACCEPTED,True,2024-04-26,2024-04-26 10:15:00+05:30,https://www.marketscreener.com/quote/stock/BAJAJ-FINANCE-LIMITED-33647061/news/INDIA-STOCKS-IT-stocks-lead-rise-in-Indian-shares-Bajaj-Finance-caps-index-gains-46539923
20240426044500-979,20240426044500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-26-april-2024/liveblog/109608263.cms,"Sensex Today | Stock Market LIVE Updates: Sensex rises over 100 pts, Nifty above 22,600; TechM climbs 8%, Bajaj Finance tanks 5% post Q4 show",ACCEPTED,True,2024-04-26,2024-04-26 10:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-26-april-2024/liveblog/109608263.cms
20240426044500-385,20240426044500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/recos/neutral-on-bajaj-finance-target-price-rs-7800-motilal-oswalnbsp/articleshow/109610713.cms,"Bajaj Finance stocks: Neutral on Bajaj Finance, target price Rs 7800: Motilal Oswal",ACCEPTED,True,2024-04-26,2024-04-26 10:15:00+05:30,https://economictimes.indiatimes.com/markets/stocks/recos/neutral-on-bajaj-finance-target-price-rs-7800-motilal-oswalnbsp/articleshow/109610713.cms
