record_id,headline,canonical_url,source,DATE
20240111143000-T385,"Tcs-infosys Q3 Results Announced Know Details Busness News And Udpates - Amar Ujala Hindi News Live - Business Updates:वित्तीय वर्ष 2024 की तीसरी तिमाही के नतीजे जारी; टीसीएस का मुनाफा 2% बढ़ा, इंफोसिस ने ये कहा",https://www.amarujala.com/business/business-diary/tcs-infosys-q3-results-announced-know-details-busness-news-and-udpates-2024-01-11,amarujala.com,20240111143000
20240111150000-891,"Infosys to skip campus hiring again, TCS to resume from next year",https://www.moneycontrol.com/news/technology/infosys-to-skip-campus-hiring-again-tcs-to-resume-from-next-year-12036781.html,moneycontrol.com,20240111150000
20240111191500-T2490,तीसरी तिमाही में टीसीएस के मुनाफे में 6% की बढ़ोतरी,https://www.sharemanthan.in/indian-companies/57-information-technology/73760-tcs-q3-profit-guidance-attrition-11012024,sharemanthan.in,20240111191500
20240112004500-83,TCS and Infosys Log Muted Sales Growth,https://economictimes.indiatimes.com/epaper/delhicapital/2024/jan/12/et-front/tcs-and-infosys-logmuted-sales-growth/articleshow/106740694.cms,indiatimes.com,20240112004500
20240112023000-759,TCS: TCS and Infosys log muted sales growth - The Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-and-infosys-log-muted-sales-growth/articleshow/106743548.cms,indiatimes.com,20240112023000
20240112023000-672,TCS: TCS and Infosys log muted sales growth - The Economic Times,https://economictimes.indiatimes.com/tech/information-tech/tcs-and-infosys-log-muted-sales-growth/articleshow/106743912.cms,indiatimes.com,20240112023000
20240112024500-763,"34,000+ Employees Resigned Or Fired From Infosys, TCS In Last 365 Days: Find Out Why? - Trak.in - Indian Business of Tech, Mobile & Startups",https://trak.in/stories/34000-employees-resigned-or-fired-from-infosys-tcs-in-last-365-days-find-out-why/,trak.in,20240112024500
20240112041500-T1456,"Stock Market Live today 12 January sensex nifty tcs infosys it stocks top gainers losers trending share - Stock Market Live today 12 January: शेयर मार्केट की तगड़ी शुरुआत, सेंसेक्स 72100 और निफ्टी 21750 के पार खुला, Business News",https://www.livehindustan.com/business/story-stock-market-live-today-12-january-sensex-nifty-tcs-infosys-it-stocks-top-gainers-losers-trending-share-9190399.html,livehindustan.com,20240112041500
20240112043000-T54,"Job Hiring: Infosys यावेळीही कॅम्पस हायरिंग करणार नाही, TCS नं पुढील वर्षासाठी सुरू केली प्रक्रिया",https://www.lokmat.com/business/news/infosys-will-not-do-campus-hiring-this-year-tcs-has-started-the-process-for-next-year-job-hiring-a-a720/,lokmat.com,20240112043000
20240112063000-T699,"टीसीएस का मुनाफा दो प्रतिशत बढ़ा, 27 रुपये मिलेगा अंतरिम लाभांश -",https://navabharat.com/nbwp/?p=174101,navabharat.com,20240112063000
20240112064500-T1956,"TCS के नतीजे अनुमान से बेहतर रहे, ब्रोकरेज फर्मों से जानें स्टॉक पर निवेश रणनीति",https://hindi.moneycontrol.com/news/markets/broker-report/tcs-results-were-better-than-expected-know-investment-strategy-on-stock-from-brokerage-firms-1713851.html,moneycontrol.com,20240112064500
20240112070000-959,"Infosys Refuses To Hire Freshers From Campuses Across India | TCS Will Hire 40,000 Freshers, Campus Hiring Starts For 2025 - Trak.in",https://trak.in/stories/infosys-refuses-to-hire-freshers-from-campuses-across-india-tcs-will-hire-40000-freshers-campus-hiring-starts-for-2025/,trak.in,20240112070000
20240112070000-T393,"Stock Market BSE Sensex NSE Nifty live Updates | रिजल्ट के बाद इंफोसिस 7% और टीसीएस 4% चढ़ा: सेंसेक्स में 500 अंक से ज्यादा की बढ़त, निफ्टी भी 150 अंक चढ़ा",https://www.bhaskar.com/business/news/stock-market-bse-sensex-nse-nifty-live-updates-132431426.html,bhaskar.com,20240112070000
20240112081500-1152,Attrition: Efficiency of execution is primarily resulting in lower headcount for TCS: Samir Seksaria,https://economictimes.indiatimes.com/markets/expert-view/efficiency-of-execution-is-primarily-resulting-in-lower-headcount-for-tcs-samir-seksaria/articleshow/106756435.cms,indiatimes.com,20240112081500
20240112094500-296,"TCS Launches New â€˜AI Experience Zoneâ€™, Aims To Create Worldâ€™s Largest AI-Ready Workforce After Training Over 1,50,000 Employees",https://www.latestly.com/technology/tcs-launches-new-ai-experience-zone-aims-to-create-worlds-largest-ai-ready-workforce-after-training-over-150000-employees-5688604.html,latestly.com,20240112094500
20240112131500-904,"TCS launches new AI Experience Zone, aims to create AI-ready workforce, ET Telecom",https://telecom.economictimes.indiatimes.com/news/enterprise-services/tcs-launches-new-ai-experience-zone-aims-to-create-ai-ready-workforce/106759550,indiatimes.com,20240112131500
20240112141500-1536,What does decline in employee headcount at IT majors TCS and Infosys indicate?,https://www.theweek.in/news/biz-tech/2024/01/12/what-does-decline-in-employee-headcount-at-it-majors-tcs-and-infosys-indicate.html,theweek.in,20240112141500
