gkg_record_id,date,source,url,headline,pipeline_stage,matcher_decision,trading_date,ist_dt,canonical_url
20240425144500-1761,20240425144500,menafn.com,https://menafn.com/1108138522/Ashneer-Grover-Says-Banks-Se-Tech-Nahi-Ho-Rahi-As-Kotak-Mahindra-Bank-Share-Prices-Drop-10-Netizens-React,"Ashneer Grover Says, 'Banks Se Tech Nahi Ho Rahi' As Kotak Mahindra Bank Share Prices Drop 10% Netizens React",ACCEPTED,True,2024-04-26,2024-04-25 20:15:00+05:30,https://menafn.com/1108138522/Ashneer-Grover-Says-Banks-Se-Tech-Nahi-Ho-Rahi-As-Kotak-Mahindra-Bank-Share-Prices-Drop-10-Netizens-React
20240425144500-2236,20240425144500,medianama.com,https://www.medianama.com/2024/04/223-rbi-halts-kotak-mahindra-online-customer-onboarding/,RBI halts Kotak Mahindra's online customer onboarding,ACCEPTED,True,2024-04-26,2024-04-25 20:15:00+05:30,https://www.medianama.com/2024/04/223-rbi-halts-kotak-mahindra-online-customer-onboarding
20240425150000-624,20240425150000,moneycontrol.com,https://www.moneycontrol.com/news/technology/swiggy-kotak-mahindra-backer-norwest-raises-3-billion-fund-to-invest-in-us-india-israel-startups-12708414.html,"Swiggy, Kotak Mahindra-backer Norwest raises $3-billion fund to invest in US, India, Israel startups",ACCEPTED,True,2024-04-26,2024-04-25 20:30:00+05:30,https://www.moneycontrol.com/news/technology/swiggy-kotak-mahindra-backer-norwest-raises-3-billion-fund-to-invest-in-us-india-israel-startups-12708414.html
20240425150000-1947,20240425150000,marketscreener.com,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-debt-securities-of-Kotak-Mahindra-Prime-Limited-46533330/,BSE : Listing of new debt securities of Kotak Mahindra Prime Limited,ACCEPTED,True,2024-04-26,2024-04-25 20:30:00+05:30,https://www.marketscreener.com/quote/stock/BSE-LIMITED-33930062/news/BSE-Listing-of-new-debt-securities-of-Kotak-Mahindra-Prime-Limited-46533330
20240425150000-T405,20240425150000,amarujala.com,https://www.amarujala.com/business/business-diary/uday-kotak-loses-10-000-crore-in-a-day-as-kotak-mahindra-bank-share-price-tanks-11-know-full-story-2024-04-25,"Uday Kotak Loses ₹10,000 Crore In A Day As Kotak Mahindra Bank Share Price Tanks 11% Know Full Story - Amar Ujala Hindi News Live - Kotak:₹30 लाख से शुरुआत; Rbi का डंडा चला तो संस्थापक के एक दिन में ही डूबे 10 हजार करोड़, पढ़ें पूरी कहानी",ACCEPTED,True,2024-04-26,2024-04-25 20:30:00+05:30,https://www.amarujala.com/business/business-diary/uday-kotak-loses-10-000-crore-in-a-day-as-kotak-mahindra-bank-share-price-tanks-11-know-full-story-2024-04-25
20240425151500-1205,20240425151500,indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/banking/operations-continue-uninterrupted-kotak-mahindra-bank-ceo-ashok-vaswani-writes-to-customers-amid-rbi-action/articleshow/109599303.cms,kotak bank share price: Operations continue uninterrupted: Kotak Mahindra Bank CEO Ashok Vaswani writes to customers amid RBI action,ACCEPTED,True,2024-04-26,2024-04-25 20:45:00+05:30,https://economictimes.indiatimes.com/industry/banking/finance/banking/operations-continue-uninterrupted-kotak-mahindra-bank-ceo-ashok-vaswani-writes-to-customers-amid-rbi-action/articleshow/109599303.cms
20240425151500-T1504,20240425151500,livehindustan.com,https://www.livehindustan.com/business/1000-rupees-turns-into-20-lakh-rupee-in-1-day-short-contracts-of-kotak-mahindra-bank-appreciate-by-as-much-as-71600-pc-201714055039558.html,"1000 rupees turns into 20 lakh rupee in 1 day Short contracts of Kotak Mahindra Bank appreciate by as much as 71600 pc ₹1000 का निवेश एक ही दिन में बन गए ₹20 लाख, इस शेयर ने बदली किस्मत, जानिए क्या है मामला",ACCEPTED,True,2024-04-26,2024-04-25 20:45:00+05:30,https://www.livehindustan.com/business/1000-rupees-turns-into-20-lakh-rupee-in-1-day-short-contracts-of-kotak-mahindra-bank-appreciate-by-as-much-as-71600-pc-201714055039558.html
20240425153000-670,20240425153000,indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/banking/kotak-mahindra-bank-to-moderate-growth-following-rbi-restrictions-analysts/articleshow/109600176.cms,RBI action Kotak bank: Kotak Mahindra Bank to moderate growth following RBI restrictions: Analysts,ACCEPTED,True,2024-04-26,2024-04-25 21:00:00+05:30,https://economictimes.indiatimes.com/industry/banking/finance/banking/kotak-mahindra-bank-to-moderate-growth-following-rbi-restrictions-analysts/articleshow/109600176.cms
20240425154500-1360,20240425154500,businesstoday.in,https://www.businesstoday.in/personal-finance/banking/story/customers-to-have-access-to-all-existing-banking-services-credit-debit-cards-kotak-mahindra-bank-after-rbis-action-426983-2024-04-25,"'Customers to have access to all existing banking services, credit, debit cards': Kotak Mahindra Bank after RBI's action",ACCEPTED,True,2024-04-26,2024-04-25 21:15:00+05:30,https://www.businesstoday.in/personal-finance/banking/story/customers-to-have-access-to-all-existing-banking-services-credit-debit-cards-kotak-mahindra-bank-after-rbis-action-426983-2024-04-25
20240425163000-1888,20240425163000,outlookindia.com,https://business.outlookindia.com/banking/kotak-mahindra-bank-ceo-ashok-vaswani-statement-kotak-share-price-rbi,Kotak Mahindra Bank CEO Ashok Vaswani Statement Kotak Share Price RBI,ACCEPTED,True,2024-04-26,2024-04-25 22:00:00+05:30,https://business.outlookindia.com/banking/kotak-mahindra-bank-ceo-ashok-vaswani-statement-kotak-share-price-rbi
