stage,page_title,url,source,DATE,reason
entity_matcher_rejected,"sensex fall today: Sensex, Nifty end with minor losses amid selling pressure in banks, auto stocks",https://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty-end-with-minor-losses-amid-selling-pressure-in-banks-auto-stocks/articleshow/111430976.cms,indiatimes.com,20240702104500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Share Market Highlights July 2, 2024: Sensex, Nifty end flat amid financial and auto declines",https://www.thehindubusinessline.com/markets/stock-market-highlights-2-july-2024/article68355890.ece,thehindubusinessline.com,20240702111500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stock Market Sectors: Stock market update: Power stocks up as market falls,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/111432006.cms,indiatimes.com,20240702113000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty End Choppy Session Marginally Lower; Banks Lead Losses",https://www.rttnews.com/story.aspx?Id=3457642,rttnews.com,20240702113000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty settle flat after hitting fresh lifetime high levels in early trade",https://www.thehindu.com/business/markets/sensex-nifty-settle-flat-after-hitting-fresh-lifetime-high-levels-in-early-trade/article68359032.ece,thehindu.com,20240702113000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Nifty settles below 24,150; PSU bank shares slides",https://www.business-standard.com/markets/capital-market-news/nifty-settles-below-24-150-psu-bank-shares-slides-124070200695_1.html,business-standard.com,20240702120000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty settle flat after hitting fresh lifetime high levels in early trade",https://www.orissapost.com/sensex-nifty-settle-flat-after-hitting-fresh-lifetime-high-levels-in-early-trade/,orissapost.com,20240702120000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty settle flat after hitting fresh lifetime high levels in early trade",https://www.tribuneindia.com/news/business/sensex-nifty-settle-flat-after-hitting-fresh-lifetime-high-levels-in-early-trade-636093,tribuneindia.com,20240702121500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stock market | Sensex and Nifty settle flat after hitting fresh lifetime high levels in early trade,https://www.telegraphindia.com/feeds/business/sensex-and-nifty-settle-flat-after-hitting-fresh-lifetime-high-levels-in-early-trade/cid/2031029,telegraphindia.com,20240702124500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,5G Infrastructure Market is anticipated to Reach $83.62 billion,https://www.openpr.com/news/3562039/5g-infrastructure-market-is-anticipated-to-reach-83-62-billion,openpr.com,20240702124500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Indian shares close flat as auto, financials offset IT gains - Markets",https://www.brecorder.com/news/40310861/indian-shares-close-flat-as-auto-financials-offset-it-gains,brecorder.com,20240702124500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty settle flat after hitting fresh lifetime high",https://www.theweek.in/news/biz-tech/2024/07/02/sensex-nifty-settle-flat-after-hitting-fresh-lifetime-high.html,theweek.in,20240702133000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Markets wipe out intra-day gains; Closing Bell: Sensex slips below 79,500 while Nifty falls 19 points; Bank Nifty falls over 400 points on July 2",https://www.financialexpress.com/market/markets-wipe-out-intra-day-gains-closing-bell-sensex-slips-below-79500-while-nifty-falls-19-points-bank-nifty-falls-over-400-points-on-july-2-3541423/,financialexpress.com,20240702133000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty erase gains as IT rally offset by fall in financials, auto stocks",https://www.vccircle.com/sensexnifty-erase-gains-as-it-rally-offset-by-fall-in-financials-auto-stocks,vccircle.com,20240702133000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stock market | Sensex and Nifty settle flat after hitting fresh lifetime high levels in early trade,https://www.telegraphindia.com/business/sensex-and-nifty-settle-flat-after-hitting-fresh-lifetime-high-levels-in-early-trade/cid/2031029,telegraphindia.com,20240702134500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Labour pains, the silent crisis undermining India's infrastructure boom",https://www.business-standard.com/industry/news/acute-worker-shortage-threatens-to-hinder-india-inc-s-ambitious-growth-124070200740_1.html,business-standard.com,20240702144500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"BSE, NSE end in red after hitting fresh lifetime highs",https://www.rediff.com/business/report/bse-nse-end-in-red-after-hitting-fresh-lifetime-highs/20240702.htm,rediff.com,20240702151500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex, Nifty End Choppy Session Marginally Lower; Banks Lead Losses",https://www.rttnews.com/3457642/sensex-nifty-end-choppy-session-marginally-lower-banks-lead-losses.aspx,rttnews.com,20240702153000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Market Indices Stall: Tuesday Closing Report,https://moneylife.in/article/market-indices-stall-tuesday-closing-report/74550.html,moneylife.in,20240702154500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Indian Industries Large Or Small Face Labour Shortfall,https://menafn.com/1108399662/Indian-Industries-Large-Or-Small-Face-Labour-Shortfall,menafn.com,20240702184500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stock Market Sectors: Stock market update: Power stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/111447776.cms,indiatimes.com,20240703051500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"ONGC, Tata Steel, DRL, Maruti, Coal India among Nifty stocks trading at deep discounts to historical valuations",https://www.businesstoday.in/markets/stocks/story/ongc-tata-steel-drl-maruti-coal-india-among-nifty-stocks-trading-at-deep-discount-to-historical-valuations-435523-2024-07-03,businesstoday.in,20240703060000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Stock Market Sectors: Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/111449672.cms,indiatimes.com,20240703061500,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Sensex sees third fastest 5,000-point gain in history to reach 80,000 mark",https://www.business-standard.com/markets/news/sensex-sees-third-fastest-5-000-point-gain-in-history-to-reach-80-000-mark-124070300237_1.html,business-standard.com,20240703063000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,Global Smart Parking Market Forecast Report 2024-2030:,https://www.globenewswire.com/news-release/2024/07/03/2907972/0/en/Global-Smart-Parking-Market-Forecast-Report-2024-2030-Robotic-Parking-Systems-Driverless-Parking-Technology-and-Growing-Penetration-of-IoT-based-Solutions-for-Fully-Automated-Parki.html,globenewswire.com,20240703083000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"India asks utilities to order $33 bln in equipment this year to boost coal power output, sources say",https://www.marketscreener.com/quote/stock/SJVN-LIMITED-8435226/news/India-asks-utilities-to-order-33-bln-in-equipment-this-year-to-boost-coal-power-output-sources-say-47292694/,marketscreener.com,20240703093000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,India power equipment: India asks utilities to order $33 billion in equipment this year to boost coal power output,https://economictimes.indiatimes.com/industry/energy/power/india-asks-utilities-to-order-33-billion-in-equipment-this-year-to-boost-coal-power-output/articleshow/111456136.cms,indiatimes.com,20240703100000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"Exclusive-India asks utilities to order $33 billion in equipment this year to boost coal power output, sources say",https://finance.yahoo.com/news/exclusive-india-asks-utilities-order-090659143.html,yahoo.com,20240703100000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,India's $33 Billion Push for Coal Power: Fast-Tracking Capacity Additions,https://www.devdiscourse.com/article/headlines/3004692-indias-33-billion-push-for-coal-power-fast-tracking-capacity-additions,devdiscourse.com,20240703100000,Entity matcher rejected (no positive signal or matched exclusion)
entity_matcher_rejected,"M&M, Power Grid, 11 other stocks outperform Sensex in its fastest 10,000 points marathon",https://economictimes.indiatimes.com/markets/stocks/news/mm-power-grid-11-more-stocks-outperform-sensex-in-its-fastest-10000-points-marathon/articleshow/111457531.cms,indiatimes.com,20240703103000,Entity matcher rejected (no positive signal or matched exclusion)
